road,random--la14,random--la17,random--la117,random--la1018,random--la28,random--la210,random--la213,random--la214,random--la216,random--la220,random--la323,random--la42,random--la414,random--la56,random--la57,random--la61,random--la66,random--la619,random--la622,random--la623,random--la627,random--la72,random--la79,random--la711,random--la811,random--la813,random--la821,random--la917,random--la921,random--la922
random--la14,1.0,0.8125,0.8125,0.6875,0.9375,0.75,0.6875,0.75,0.9375,1.0,0.5625,0.75,0.5,0.5625,0.5,0.9375,0.9375,0.8125,0.5625,0.375,0.75,0.625,0.8125,0.75,0.9375,0.4375,0.5625,0.6875,0.5,0.25
random--la17,0.8125,1.0,1.0,0.875,0.875,0.9375,0.875,0.9375,0.875,0.8125,0.75,0.5625,0.6875,0.75,0.6875,0.875,0.875,1.0,0.75,0.5625,0.9375,0.8125,0.875,0.9375,0.875,0.625,0.75,0.875,0.6875,0.4375
random--la117,0.8125,1.0,1.0,0.875,0.875,0.9375,0.875,0.9375,0.875,0.8125,0.75,0.5625,0.6875,0.75,0.6875,0.875,0.875,1.0,0.75,0.5625,0.9375,0.8125,0.875,0.9375,0.875,0.625,0.75,0.875,0.6875,0.4375
random--la1018,0.6875,0.875,0.875,1.0,0.75,0.9375,0.875,0.9375,0.75,0.6875,0.875,0.6875,0.8125,0.875,0.8125,0.75,0.75,0.875,0.875,0.6875,0.9375,0.9375,0.75,0.9375,0.75,0.75,0.875,1.0,0.6875,0.5625
random--la28,0.9375,0.875,0.875,0.75,1.0,0.8125,0.75,0.8125,1.0,0.9375,0.625,0.6875,0.5625,0.625,0.5625,1.0,1.0,0.875,0.625,0.4375,0.8125,0.6875,0.875,0.8125,1.0,0.5,0.625,0.75,0.5625,0.3125
random--la210,0.75,0.9375,0.9375,0.9375,0.8125,1.0,0.9375,1.0,0.8125,0.75,0.8125,0.625,0.75,0.8125,0.75,0.8125,0.8125,0.9375,0.8125,0.625,1.0,0.875,0.8125,1.0,0.8125,0.6875,0.8125,0.9375,0.625,0.5
random--la213,0.6875,0.875,0.875,0.875,0.75,0.9375,1.0,0.9375,0.75,0.6875,0.75,0.5625,0.8125,0.875,0.6875,0.75,0.75,0.875,0.875,0.6875,0.9375,0.8125,0.875,0.9375,0.75,0.75,0.875,0.875,0.5625,0.5625
random--la214,0.75,0.9375,0.9375,0.9375,0.8125,1.0,0.9375,1.0,0.8125,0.75,0.8125,0.625,0.75,0.8125,0.75,0.8125,0.8125,0.9375,0.8125,0.625,1.0,0.875,0.8125,1.0,0.8125,0.6875,0.8125,0.9375,0.625,0.5
random--la216,0.9375,0.875,0.875,0.75,1.0,0.8125,0.75,0.8125,1.0,0.9375,0.625,0.6875,0.5625,0.625,0.5625,1.0,1.0,0.875,0.625,0.4375,0.8125,0.6875,0.875,0.8125,1.0,0.5,0.625,0.75,0.5625,0.3125
random--la220,1.0,0.8125,0.8125,0.6875,0.9375,0.75,0.6875,0.75,0.9375,1.0,0.5625,0.75,0.5,0.5625,0.5,0.9375,0.9375,0.8125,0.5625,0.375,0.75,0.625,0.8125,0.75,0.9375,0.4375,0.5625,0.6875,0.5,0.25
random--la323,0.5625,0.75,0.75,0.875,0.625,0.8125,0.75,0.8125,0.625,0.5625,1.0,0.6875,0.8125,0.875,0.9375,0.625,0.625,0.75,0.875,0.8125,0.8125,0.9375,0.625,0.8125,0.625,0.875,0.875,0.875,0.8125,0.6875
random--la42,0.75,0.5625,0.5625,0.6875,0.6875,0.625,0.5625,0.625,0.6875,0.75,0.6875,1.0,0.625,0.6875,0.625,0.6875,0.6875,0.5625,0.6875,0.5,0.625,0.75,0.5625,0.625,0.6875,0.5625,0.6875,0.6875,0.5,0.375
random--la414,0.5,0.6875,0.6875,0.8125,0.5625,0.75,0.8125,0.75,0.5625,0.5,0.8125,0.625,1.0,0.9375,0.875,0.5625,0.5625,0.6875,0.9375,0.875,0.75,0.875,0.6875,0.75,0.5625,0.9375,0.9375,0.8125,0.75,0.75
random--la56,0.5625,0.75,0.75,0.875,0.625,0.8125,0.875,0.8125,0.625,0.5625,0.875,0.6875,0.9375,1.0,0.8125,0.625,0.625,0.75,1.0,0.8125,0.8125,0.9375,0.75,0.8125,0.625,0.875,1.0,0.875,0.6875,0.6875
random--la57,0.5,0.6875,0.6875,0.8125,0.5625,0.75,0.6875,0.75,0.5625,0.5,0.9375,0.625,0.875,0.8125,1.0,0.5625,0.5625,0.6875,0.8125,0.875,0.75,0.875,0.5625,0.75,0.5625,0.9375,0.8125,0.8125,0.875,0.75
random--la61,0.9375,0.875,0.875,0.75,1.0,0.8125,0.75,0.8125,1.0,0.9375,0.625,0.6875,0.5625,0.625,0.5625,1.0,1.0,0.875,0.625,0.4375,0.8125,0.6875,0.875,0.8125,1.0,0.5,0.625,0.75,0.5625,0.3125
random--la66,0.9375,0.875,0.875,0.75,1.0,0.8125,0.75,0.8125,1.0,0.9375,0.625,0.6875,0.5625,0.625,0.5625,1.0,1.0,0.875,0.625,0.4375,0.8125,0.6875,0.875,0.8125,1.0,0.5,0.625,0.75,0.5625,0.3125
random--la619,0.8125,1.0,1.0,0.875,0.875,0.9375,0.875,0.9375,0.875,0.8125,0.75,0.5625,0.6875,0.75,0.6875,0.875,0.875,1.0,0.75,0.5625,0.9375,0.8125,0.875,0.9375,0.875,0.625,0.75,0.875,0.6875,0.4375
random--la622,0.5625,0.75,0.75,0.875,0.625,0.8125,0.875,0.8125,0.625,0.5625,0.875,0.6875,0.9375,1.0,0.8125,0.625,0.625,0.75,1.0,0.8125,0.8125,0.9375,0.75,0.8125,0.625,0.875,1.0,0.875,0.6875,0.6875
random--la623,0.375,0.5625,0.5625,0.6875,0.4375,0.625,0.6875,0.625,0.4375,0.375,0.8125,0.5,0.875,0.8125,0.875,0.4375,0.4375,0.5625,0.8125,1.0,0.625,0.75,0.5625,0.625,0.4375,0.9375,0.8125,0.6875,0.875,0.875
random--la627,0.75,0.9375,0.9375,0.9375,0.8125,1.0,0.9375,1.0,0.8125,0.75,0.8125,0.625,0.75,0.8125,0.75,0.8125,0.8125,0.9375,0.8125,0.625,1.0,0.875,0.8125,1.0,0.8125,0.6875,0.8125,0.9375,0.625,0.5
random--la72,0.625,0.8125,0.8125,0.9375,0.6875,0.875,0.8125,0.875,0.6875,0.625,0.9375,0.75,0.875,0.9375,0.875,0.6875,0.6875,0.8125,0.9375,0.75,0.875,1.0,0.6875,0.875,0.6875,0.8125,0.9375,0.9375,0.75,0.625
random--la79,0.8125,0.875,0.875,0.75,0.875,0.8125,0.875,0.8125,0.875,0.8125,0.625,0.5625,0.6875,0.75,0.5625,0.875,0.875,0.875,0.75,0.5625,0.8125,0.6875,1.0,0.8125,0.875,0.625,0.75,0.75,0.5625,0.4375
random--la711,0.75,0.9375,0.9375,0.9375,0.8125,1.0,0.9375,1.0,0.8125,0.75,0.8125,0.625,0.75,0.8125,0.75,0.8125,0.8125,0.9375,0.8125,0.625,1.0,0.875,0.8125,1.0,0.8125,0.6875,0.8125,0.9375,0.625,0.5
random--la811,0.9375,0.875,0.875,0.75,1.0,0.8125,0.75,0.8125,1.0,0.9375,0.625,0.6875,0.5625,0.625,0.5625,1.0,1.0,0.875,0.625,0.4375,0.8125,0.6875,0.875,0.8125,1.0,0.5,0.625,0.75,0.5625,0.3125
random--la813,0.4375,0.625,0.625,0.75,0.5,0.6875,0.75,0.6875,0.5,0.4375,0.875,0.5625,0.9375,0.875,0.9375,0.5,0.5,0.625,0.875,0.9375,0.6875,0.8125,0.625,0.6875,0.5,1.0,0.875,0.75,0.8125,0.8125
random--la821,0.5625,0.75,0.75,0.875,0.625,0.8125,0.875,0.8125,0.625,0.5625,0.875,0.6875,0.9375,1.0,0.8125,0.625,0.625,0.75,1.0,0.8125,0.8125,0.9375,0.75,0.8125,0.625,0.875,1.0,0.875,0.6875,0.6875
random--la917,0.6875,0.875,0.875,1.0,0.75,0.9375,0.875,0.9375,0.75,0.6875,0.875,0.6875,0.8125,0.875,0.8125,0.75,0.75,0.875,0.875,0.6875,0.9375,0.9375,0.75,0.9375,0.75,0.75,0.875,1.0,0.6875,0.5625
random--la921,0.5,0.6875,0.6875,0.6875,0.5625,0.625,0.5625,0.625,0.5625,0.5,0.8125,0.5,0.75,0.6875,0.875,0.5625,0.5625,0.6875,0.6875,0.875,0.625,0.75,0.5625,0.625,0.5625,0.8125,0.6875,0.6875,1.0,0.75
random--la922,0.25,0.4375,0.4375,0.5625,0.3125,0.5,0.5625,0.5,0.3125,0.25,0.6875,0.375,0.75,0.6875,0.75,0.3125,0.3125,0.4375,0.6875,0.875,0.5,0.625,0.4375,0.5,0.3125,0.8125,0.6875,0.5625,0.75,1.0
