road,random--la17,random--la19,random--la107,random--la1010,random--la1014,random--la24,random--la218,random--la219,random--la223,random--la231,random--la33,random--la42,random--la43,random--la412,random--la413,random--la423,random--la427,random--la431,random--la435,random--la54,random--la623,random--la74,random--la712,random--la729,random--la731,random--la86,random--la87,random--la828,random--la910,random--la924
random--la17,1.0,0.6953125,0.6796875,0.61328125,0.80859375,0.7421875,0.62109375,0.76171875,0.80078125,0.6875,0.73828125,0.63671875,0.74609375,0.78125,0.70703125,0.76953125,0.734375,0.60546875,0.76953125,0.7421875,0.69140625,0.74609375,0.7578125,0.65234375,0.70703125,0.66015625,0.6171875,0.6875,0.71875,0.7890625
random--la19,0.6953125,1.0,0.7265625,0.74609375,0.75390625,0.765625,0.74609375,0.66796875,0.76171875,0.71875,0.75390625,0.74609375,0.75390625,0.7578125,0.75390625,0.70703125,0.75,0.76171875,0.76953125,0.75,0.80078125,0.76953125,0.703125,0.78515625,0.66015625,0.77734375,0.7421875,0.765625,0.875,0.765625
random--la107,0.6796875,0.7265625,1.0,0.77734375,0.75390625,0.7734375,0.78515625,0.76171875,0.74609375,0.7578125,0.68359375,0.76953125,0.82421875,0.703125,0.80078125,0.73046875,0.78125,0.69921875,0.74609375,0.734375,0.76953125,0.73046875,0.7421875,0.69140625,0.73828125,0.71484375,0.7421875,0.7265625,0.734375,0.7734375
random--la1010,0.61328125,0.74609375,0.77734375,1.0,0.7578125,0.76953125,0.8359375,0.7734375,0.7734375,0.70703125,0.7421875,0.796875,0.7734375,0.74609375,0.796875,0.71875,0.80078125,0.7578125,0.7421875,0.75390625,0.8046875,0.7890625,0.75390625,0.6875,0.703125,0.796875,0.77734375,0.77734375,0.77734375,0.76171875
random--la1014,0.80859375,0.75390625,0.75390625,0.7578125,1.0,0.87109375,0.765625,0.765625,0.8203125,0.76171875,0.734375,0.7421875,0.8515625,0.82421875,0.84375,0.7578125,0.80078125,0.734375,0.796875,0.75390625,0.78125,0.859375,0.78515625,0.7109375,0.765625,0.75,0.76171875,0.76171875,0.80078125,0.80078125
random--la24,0.7421875,0.765625,0.7734375,0.76953125,0.87109375,1.0,0.79296875,0.73828125,0.80859375,0.796875,0.75390625,0.76953125,0.86328125,0.84375,0.84765625,0.78515625,0.8359375,0.76171875,0.81640625,0.75,0.78515625,0.83203125,0.765625,0.73046875,0.75390625,0.75390625,0.796875,0.734375,0.8125,0.796875
random--la218,0.62109375,0.74609375,0.78515625,0.8359375,0.765625,0.79296875,1.0,0.78125,0.8046875,0.74609375,0.78125,0.8359375,0.8046875,0.77734375,0.78125,0.78125,0.80078125,0.7890625,0.7734375,0.74609375,0.8515625,0.828125,0.78515625,0.7734375,0.734375,0.796875,0.83203125,0.77734375,0.78515625,0.76953125
random--la219,0.76171875,0.66796875,0.76171875,0.7734375,0.765625,0.73828125,0.78125,1.0,0.765625,0.73828125,0.71875,0.7421875,0.7109375,0.74609375,0.7421875,0.7890625,0.80078125,0.671875,0.7578125,0.69140625,0.7734375,0.75,0.76171875,0.6796875,0.7734375,0.703125,0.70703125,0.73828125,0.73828125,0.74609375
random--la223,0.80078125,0.76171875,0.74609375,0.7734375,0.8203125,0.80859375,0.8046875,0.765625,1.0,0.75390625,0.78125,0.78125,0.7890625,0.82421875,0.78125,0.7734375,0.80078125,0.7421875,0.8203125,0.76953125,0.7890625,0.8203125,0.79296875,0.7109375,0.7421875,0.78125,0.76953125,0.76171875,0.80078125,0.79296875
random--la231,0.6875,0.71875,0.7578125,0.70703125,0.76171875,0.796875,0.74609375,0.73828125,0.75390625,1.0,0.66796875,0.72265625,0.76953125,0.7578125,0.78515625,0.76171875,0.7890625,0.75390625,0.76953125,0.6796875,0.73828125,0.76171875,0.734375,0.69140625,0.69921875,0.70703125,0.75,0.703125,0.734375,0.75
random--la33,0.73828125,0.75390625,0.68359375,0.7421875,0.734375,0.75390625,0.78125,0.71875,0.78125,0.66796875,1.0,0.7578125,0.7578125,0.76953125,0.7109375,0.7265625,0.75390625,0.7109375,0.7734375,0.76953125,0.796875,0.8046875,0.76171875,0.7109375,0.7578125,0.7421875,0.78515625,0.81640625,0.77734375,0.74609375
random--la42,0.63671875,0.74609375,0.76953125,0.796875,0.7421875,0.76953125,0.8359375,0.7421875,0.78125,0.72265625,0.7578125,1.0,0.796875,0.74609375,0.765625,0.734375,0.80859375,0.75,0.796875,0.74609375,0.8359375,0.7890625,0.77734375,0.6875,0.7421875,0.8125,0.82421875,0.80078125,0.76171875,0.76171875
random--la43,0.74609375,0.75390625,0.82421875,0.7734375,0.8515625,0.86328125,0.8046875,0.7109375,0.7890625,0.76953125,0.7578125,0.796875,1.0,0.76953125,0.8203125,0.78125,0.80859375,0.75,0.78125,0.77734375,0.7890625,0.8203125,0.80078125,0.7265625,0.75,0.7421875,0.79296875,0.77734375,0.80078125,0.81640625
random--la412,0.78125,0.7578125,0.703125,0.74609375,0.82421875,0.84375,0.77734375,0.74609375,0.82421875,0.7578125,0.76953125,0.74609375,0.76953125,1.0,0.78515625,0.77734375,0.7890625,0.74609375,0.80078125,0.75,0.76953125,0.85546875,0.78125,0.71484375,0.72265625,0.78515625,0.8125,0.734375,0.796875,0.7109375
random--la413,0.70703125,0.75390625,0.80078125,0.796875,0.84375,0.84765625,0.78125,0.7421875,0.78125,0.78515625,0.7109375,0.765625,0.8203125,0.78515625,1.0,0.7578125,0.81640625,0.7421875,0.7578125,0.74609375,0.78125,0.796875,0.78515625,0.71875,0.7421875,0.765625,0.80078125,0.75390625,0.79296875,0.73046875
random--la423,0.76953125,0.70703125,0.73046875,0.71875,0.7578125,0.78515625,0.78125,0.7890625,0.7734375,0.76171875,0.7265625,0.734375,0.78125,0.77734375,0.7578125,1.0,0.80078125,0.703125,0.7734375,0.73828125,0.7578125,0.7734375,0.76953125,0.7578125,0.734375,0.765625,0.73046875,0.70703125,0.75390625,0.73046875
random--la427,0.734375,0.75,0.78125,0.80078125,0.80078125,0.8359375,0.80078125,0.80078125,0.80078125,0.7890625,0.75390625,0.80859375,0.80859375,0.7890625,0.81640625,0.80078125,1.0,0.74609375,0.81640625,0.7734375,0.83984375,0.79296875,0.8125,0.71484375,0.80078125,0.77734375,0.8046875,0.7890625,0.7890625,0.8203125
random--la431,0.60546875,0.76171875,0.69921875,0.7578125,0.734375,0.76171875,0.7890625,0.671875,0.7421875,0.75390625,0.7109375,0.75,0.75,0.74609375,0.7421875,0.703125,0.74609375,1.0,0.71875,0.68359375,0.7578125,0.765625,0.71484375,0.734375,0.671875,0.7578125,0.75390625,0.72265625,0.76171875,0.73828125
random--la435,0.76953125,0.76953125,0.74609375,0.7421875,0.796875,0.81640625,0.7734375,0.7578125,0.8203125,0.76953125,0.7734375,0.796875,0.78125,0.80078125,0.7578125,0.7734375,0.81640625,0.71875,1.0,0.75390625,0.7890625,0.8203125,0.74609375,0.7109375,0.734375,0.7578125,0.76953125,0.75390625,0.77734375,0.79296875
random--la54,0.7421875,0.75,0.734375,0.75390625,0.75390625,0.75,0.74609375,0.69140625,0.76953125,0.6796875,0.76953125,0.74609375,0.77734375,0.75,0.74609375,0.73828125,0.7734375,0.68359375,0.75390625,1.0,0.79296875,0.76171875,0.7421875,0.67578125,0.68359375,0.76171875,0.734375,0.7734375,0.7734375,0.7421875
random--la623,0.69140625,0.80078125,0.76953125,0.8046875,0.78125,0.78515625,0.8515625,0.7734375,0.7890625,0.73828125,0.796875,0.8359375,0.7890625,0.76953125,0.78125,0.7578125,0.83984375,0.7578125,0.7890625,0.79296875,1.0,0.796875,0.77734375,0.765625,0.765625,0.7890625,0.83984375,0.81640625,0.83203125,0.79296875
random--la74,0.74609375,0.76953125,0.73046875,0.7890625,0.859375,0.83203125,0.828125,0.75,0.8203125,0.76171875,0.8046875,0.7890625,0.8203125,0.85546875,0.796875,0.7734375,0.79296875,0.765625,0.8203125,0.76171875,0.796875,1.0,0.79296875,0.6953125,0.75,0.765625,0.80859375,0.76953125,0.80859375,0.75390625
random--la712,0.7578125,0.703125,0.7421875,0.75390625,0.78515625,0.765625,0.78515625,0.76171875,0.79296875,0.734375,0.76171875,0.77734375,0.80078125,0.78125,0.78515625,0.76953125,0.8125,0.71484375,0.74609375,0.7421875,0.77734375,0.79296875,1.0,0.68359375,0.76171875,0.75390625,0.7421875,0.7578125,0.7421875,0.7421875
random--la729,0.65234375,0.78515625,0.69140625,0.6875,0.7109375,0.73046875,0.7734375,0.6796875,0.7109375,0.69140625,0.7109375,0.6875,0.7265625,0.71484375,0.71875,0.7578125,0.71484375,0.734375,0.7109375,0.67578125,0.765625,0.6953125,0.68359375,1.0,0.640625,0.71875,0.71484375,0.70703125,0.76953125,0.69921875
random--la731,0.70703125,0.66015625,0.73828125,0.703125,0.765625,0.75390625,0.734375,0.7734375,0.7421875,0.69921875,0.7578125,0.7421875,0.75,0.72265625,0.7421875,0.734375,0.80078125,0.671875,0.734375,0.68359375,0.765625,0.75,0.76171875,0.640625,1.0,0.71875,0.73828125,0.76171875,0.71484375,0.73828125
random--la86,0.66015625,0.77734375,0.71484375,0.796875,0.75,0.75390625,0.796875,0.703125,0.78125,0.70703125,0.7421875,0.8125,0.7421875,0.78515625,0.765625,0.765625,0.77734375,0.7578125,0.7578125,0.76171875,0.7890625,0.765625,0.75390625,0.71875,0.71875,1.0,0.79296875,0.80078125,0.79296875,0.74609375
random--la87,0.6171875,0.7421875,0.7421875,0.77734375,0.76171875,0.796875,0.83203125,0.70703125,0.76953125,0.75,0.78515625,0.82421875,0.79296875,0.8125,0.80078125,0.73046875,0.8046875,0.75390625,0.76953125,0.734375,0.83984375,0.80859375,0.7421875,0.71484375,0.73828125,0.79296875,1.0,0.7734375,0.765625,0.71875
random--la828,0.6875,0.765625,0.7265625,0.77734375,0.76171875,0.734375,0.77734375,0.73828125,0.76171875,0.703125,0.81640625,0.80078125,0.77734375,0.734375,0.75390625,0.70703125,0.7890625,0.72265625,0.75390625,0.7734375,0.81640625,0.76953125,0.7578125,0.70703125,0.76171875,0.80078125,0.7734375,1.0,0.7734375,0.78125
random--la910,0.71875,0.875,0.734375,0.77734375,0.80078125,0.8125,0.78515625,0.73828125,0.80078125,0.734375,0.77734375,0.76171875,0.80078125,0.796875,0.79296875,0.75390625,0.7890625,0.76171875,0.77734375,0.7734375,0.83203125,0.80859375,0.7421875,0.76953125,0.71484375,0.79296875,0.765625,0.7734375,1.0,0.8046875
random--la924,0.7890625,0.765625,0.7734375,0.76171875,0.80078125,0.796875,0.76953125,0.74609375,0.79296875,0.75,0.74609375,0.76171875,0.81640625,0.7109375,0.73046875,0.73046875,0.8203125,0.73828125,0.79296875,0.7421875,0.79296875,0.75390625,0.7421875,0.69921875,0.73828125,0.74609375,0.71875,0.78125,0.8046875,1.0
