road,one-plus-o216,one-plus-o222,one-plus-o227,one-plus-o243,random--la13,random--la125,random--la102,random--la24,random--la26,random--la219,random--la33,random--la318,random--la43,random--la44,random--la411,random--la427,random--la431,random--la514,random--la519,random--la520,random--la523,random--la66,random--la620,random--la621,random--la637,random--la638,random--la650,random--la76,random--la712,random--la727
one-plus-o216,1.0,0.6875,0.6875,0.875,0.5625,0.8125,0.875,0.625,0.5,0.8125,0.5,0.375,0.5,0.8125,0.75,0.5625,0.5625,0.9375,0.625,0.8125,0.875,0.75,0.5625,0.6875,0.5,0.4375,0.5625,0.5625,0.8125,0.5
one-plus-o222,0.6875,1.0,0.875,0.8125,0.625,0.875,0.6875,0.5625,0.6875,0.75,0.4375,0.5625,0.6875,0.875,0.9375,0.5,0.75,0.75,0.4375,0.625,0.8125,0.8125,0.625,0.75,0.6875,0.375,0.625,0.625,0.625,0.6875
one-plus-o227,0.6875,0.875,1.0,0.8125,0.625,0.875,0.6875,0.5625,0.6875,0.875,0.4375,0.5625,0.6875,0.875,0.9375,0.5,0.75,0.75,0.5625,0.625,0.8125,0.9375,0.625,0.75,0.6875,0.375,0.625,0.625,0.625,0.6875
one-plus-o243,0.875,0.8125,0.8125,1.0,0.5625,0.9375,0.75,0.5,0.625,0.8125,0.375,0.5,0.625,0.8125,0.875,0.4375,0.6875,0.8125,0.5,0.6875,0.875,0.875,0.5625,0.6875,0.625,0.3125,0.5625,0.5625,0.6875,0.625
random--la13,0.5625,0.625,0.625,0.5625,1.0,0.5,0.5625,0.9375,0.9375,0.75,0.8125,0.6875,0.9375,0.625,0.5625,0.75,0.875,0.5,0.5625,0.375,0.5625,0.6875,1.0,0.875,0.9375,0.75,1.0,1.0,0.375,0.9375
random--la125,0.8125,0.875,0.875,0.9375,0.5,1.0,0.8125,0.4375,0.5625,0.75,0.3125,0.4375,0.5625,0.875,0.9375,0.375,0.625,0.875,0.4375,0.75,0.9375,0.8125,0.5,0.625,0.5625,0.25,0.5,0.5,0.75,0.5625
random--la102,0.875,0.6875,0.6875,0.75,0.5625,0.8125,1.0,0.625,0.5,0.6875,0.5,0.375,0.5,0.8125,0.75,0.5625,0.5625,0.9375,0.625,0.8125,0.875,0.625,0.5625,0.6875,0.5,0.4375,0.5625,0.5625,0.8125,0.5
random--la24,0.625,0.5625,0.5625,0.5,0.9375,0.4375,0.625,1.0,0.875,0.6875,0.875,0.625,0.875,0.5625,0.5,0.8125,0.8125,0.5625,0.625,0.4375,0.5,0.625,0.9375,0.8125,0.875,0.8125,0.9375,0.9375,0.4375,0.875
random--la26,0.5,0.6875,0.6875,0.625,0.9375,0.5625,0.5,0.875,1.0,0.6875,0.75,0.75,1.0,0.5625,0.625,0.6875,0.9375,0.4375,0.5,0.3125,0.5,0.75,0.9375,0.8125,1.0,0.6875,0.9375,0.9375,0.3125,1.0
random--la219,0.8125,0.75,0.875,0.8125,0.75,0.75,0.6875,0.6875,0.6875,1.0,0.5625,0.5625,0.6875,0.875,0.8125,0.625,0.75,0.75,0.6875,0.625,0.8125,0.9375,0.75,0.875,0.6875,0.5,0.75,0.75,0.625,0.6875
random--la33,0.5,0.4375,0.4375,0.375,0.8125,0.3125,0.5,0.875,0.75,0.5625,1.0,0.625,0.75,0.4375,0.375,0.9375,0.6875,0.4375,0.75,0.5625,0.375,0.5,0.8125,0.6875,0.75,0.9375,0.8125,0.8125,0.5625,0.75
random--la318,0.375,0.5625,0.5625,0.5,0.6875,0.4375,0.375,0.625,0.75,0.5625,0.625,1.0,0.75,0.4375,0.5,0.5625,0.6875,0.3125,0.5,0.3125,0.375,0.625,0.6875,0.6875,0.75,0.5625,0.6875,0.6875,0.3125,0.75
random--la43,0.5,0.6875,0.6875,0.625,0.9375,0.5625,0.5,0.875,1.0,0.6875,0.75,0.75,1.0,0.5625,0.625,0.6875,0.9375,0.4375,0.5,0.3125,0.5,0.75,0.9375,0.8125,1.0,0.6875,0.9375,0.9375,0.3125,1.0
random--la44,0.8125,0.875,0.875,0.8125,0.625,0.875,0.8125,0.5625,0.5625,0.875,0.4375,0.4375,0.5625,1.0,0.9375,0.5,0.625,0.875,0.5625,0.75,0.9375,0.8125,0.625,0.75,0.5625,0.375,0.625,0.625,0.75,0.5625
random--la411,0.75,0.9375,0.9375,0.875,0.5625,0.9375,0.75,0.5,0.625,0.8125,0.375,0.5,0.625,0.9375,1.0,0.4375,0.6875,0.8125,0.5,0.6875,0.875,0.875,0.5625,0.6875,0.625,0.3125,0.5625,0.5625,0.6875,0.625
random--la427,0.5625,0.5,0.5,0.4375,0.75,0.375,0.5625,0.8125,0.6875,0.625,0.9375,0.5625,0.6875,0.5,0.4375,1.0,0.75,0.5,0.8125,0.625,0.4375,0.5625,0.75,0.75,0.6875,0.875,0.75,0.75,0.625,0.6875
random--la431,0.5625,0.75,0.75,0.6875,0.875,0.625,0.5625,0.8125,0.9375,0.75,0.6875,0.6875,0.9375,0.625,0.6875,0.75,1.0,0.5,0.5625,0.375,0.5625,0.8125,0.875,0.875,0.9375,0.625,0.875,0.875,0.375,0.9375
random--la514,0.9375,0.75,0.75,0.8125,0.5,0.875,0.9375,0.5625,0.4375,0.75,0.4375,0.3125,0.4375,0.875,0.8125,0.5,0.5,1.0,0.5625,0.875,0.9375,0.6875,0.5,0.625,0.4375,0.375,0.5,0.5,0.875,0.4375
random--la519,0.625,0.4375,0.5625,0.5,0.5625,0.4375,0.625,0.625,0.5,0.6875,0.75,0.5,0.5,0.5625,0.5,0.8125,0.5625,0.5625,1.0,0.6875,0.5,0.625,0.5625,0.6875,0.5,0.8125,0.5625,0.5625,0.6875,0.5
random--la520,0.8125,0.625,0.625,0.6875,0.375,0.75,0.8125,0.4375,0.3125,0.625,0.5625,0.3125,0.3125,0.75,0.6875,0.625,0.375,0.875,0.6875,1.0,0.8125,0.5625,0.375,0.5,0.3125,0.5,0.375,0.375,1.0,0.3125
random--la523,0.875,0.8125,0.8125,0.875,0.5625,0.9375,0.875,0.5,0.5,0.8125,0.375,0.375,0.5,0.9375,0.875,0.4375,0.5625,0.9375,0.5,0.8125,1.0,0.75,0.5625,0.6875,0.5,0.3125,0.5625,0.5625,0.8125,0.5
random--la66,0.75,0.8125,0.9375,0.875,0.6875,0.8125,0.625,0.625,0.75,0.9375,0.5,0.625,0.75,0.8125,0.875,0.5625,0.8125,0.6875,0.625,0.5625,0.75,1.0,0.6875,0.8125,0.75,0.4375,0.6875,0.6875,0.5625,0.75
random--la620,0.5625,0.625,0.625,0.5625,1.0,0.5,0.5625,0.9375,0.9375,0.75,0.8125,0.6875,0.9375,0.625,0.5625,0.75,0.875,0.5,0.5625,0.375,0.5625,0.6875,1.0,0.875,0.9375,0.75,1.0,1.0,0.375,0.9375
random--la621,0.6875,0.75,0.75,0.6875,0.875,0.625,0.6875,0.8125,0.8125,0.875,0.6875,0.6875,0.8125,0.75,0.6875,0.75,0.875,0.625,0.6875,0.5,0.6875,0.8125,0.875,1.0,0.8125,0.625,0.875,0.875,0.5,0.8125
random--la637,0.5,0.6875,0.6875,0.625,0.9375,0.5625,0.5,0.875,1.0,0.6875,0.75,0.75,1.0,0.5625,0.625,0.6875,0.9375,0.4375,0.5,0.3125,0.5,0.75,0.9375,0.8125,1.0,0.6875,0.9375,0.9375,0.3125,1.0
random--la638,0.4375,0.375,0.375,0.3125,0.75,0.25,0.4375,0.8125,0.6875,0.5,0.9375,0.5625,0.6875,0.375,0.3125,0.875,0.625,0.375,0.8125,0.5,0.3125,0.4375,0.75,0.625,0.6875,1.0,0.75,0.75,0.5,0.6875
random--la650,0.5625,0.625,0.625,0.5625,1.0,0.5,0.5625,0.9375,0.9375,0.75,0.8125,0.6875,0.9375,0.625,0.5625,0.75,0.875,0.5,0.5625,0.375,0.5625,0.6875,1.0,0.875,0.9375,0.75,1.0,1.0,0.375,0.9375
random--la76,0.5625,0.625,0.625,0.5625,1.0,0.5,0.5625,0.9375,0.9375,0.75,0.8125,0.6875,0.9375,0.625,0.5625,0.75,0.875,0.5,0.5625,0.375,0.5625,0.6875,1.0,0.875,0.9375,0.75,1.0,1.0,0.375,0.9375
random--la712,0.8125,0.625,0.625,0.6875,0.375,0.75,0.8125,0.4375,0.3125,0.625,0.5625,0.3125,0.3125,0.75,0.6875,0.625,0.375,0.875,0.6875,1.0,0.8125,0.5625,0.375,0.5,0.3125,0.5,0.375,0.375,1.0,0.3125
random--la727,0.5,0.6875,0.6875,0.625,0.9375,0.5625,0.5,0.875,1.0,0.6875,0.75,0.75,1.0,0.5625,0.625,0.6875,0.9375,0.4375,0.5,0.3125,0.5,0.75,0.9375,0.8125,1.0,0.6875,0.9375,0.9375,0.3125,1.0
